Age (ka),d18O (permil)
398,3.130191034
399,3.0867459
400,3.064299781
401,3.054021676
402,3.051903848
403,3.065409965
404,3.095279491
405,3.114351478
406,3.123034977
407,3.139238851
408,3.16473577
409,3.205210034
410,3.258623949
411,3.316528789
412,3.373447353
413,3.424596613
414,3.474185729
415,3.525479137
416,3.572046302
417,3.609793471
418,3.643645004
419,3.682864311
420,3.734325624
421,3.801059694
422,3.883774034
423,3.978059442
424,4.077817395
425,4.188723409
426,4.316513086
427,4.451989141
428,4.582407414
429,4.698796994
430,4.792837466
431,4.85702402
432,4.890869943
433,4.901899258
434,4.890074733
435,4.873996156
436,4.86274484
437,4.83684293
438,4.810045216
439,4.782783869
440,4.754207724
441,4.725322288
442,4.697711838
443,4.669208388
444,4.632822427
445,4.594983331
446,4.556116135
447,4.514934939
448,4.480986535
449,4.462586613
450,4.451807303
451,4.440189699
452,4.427555225
453,4.417848515
454,4.416336918
455,4.421921642
456,4.423475238
457,4.413435989
458,4.397997117
459,4.382460667
460,4.369653733
461,4.361807036
462,4.356559354
463,4.350003231
464,4.338192562
465,4.3203871
466,4.29866637
467,4.274664697
468,4.248205482
469,4.217899312
470,4.182138237
471,4.141327695
472,4.09826919
473,4.057558448
474,4.027551661
475,4.005070041
476,3.996273143
477,4.003113379
478,4.012873293
479,4.014932921
480,3.990080305
481,3.935985751
482,3.874464598
483,3.819276265
484,3.783023661
485,3.763322618
486,3.741081435
487,3.705414199
488,3.667517285
489,3.630346654
490,3.59473094
491,3.565622057
492,3.53699549
493,3.508651877
494,3.499344082
495,3.516229733
496,3.547753339
497,3.579588796
498,3.602698642
499,3.611663227
500,3.614943825
501,3.618598561
502,3.622116379
503,3.630675513
504,3.643713605
505,3.658067581
506,3.682899538
507,3.719598748
508,3.752823587
509,3.787998279
510,3.825175969
511,3.86751668
512,3.91786866
513,3.964204646
514,4.004666201
515,4.018543217
516,4.004682387
517,3.992516106
518,3.983880457
519,3.966950727
520,3.948523838
521,3.924704269
522,3.892664235
523,3.848944857
524,3.807184908
525,3.788122123
526,3.766938469
527,3.739821238
528,3.736941933
529,3.754055569
530,3.784534958
531,3.827489398
532,3.85561868
533,3.865016938
534,3.874691618
535,3.894804951
536,3.921234491
537,3.97418577
538,4.072686289
539,4.190301162
540,4.283170237
541,4.337068567
542,4.370368985
543,4.386887257
544,4.392671353
545,4.388190782
546,4.378010919
547,4.369947686
548,4.363666562
549,4.360328924
550,4.364484133
551,4.36236304
552,4.344256783
553,4.319880113
554,4.290811254
555,4.253763061
556,4.207588175
557,4.157723483
558,4.117185231
559,4.084127761
560,4.044907619
561,3.993714433
562,3.932982532
563,3.882518897
564,3.845467649
565,3.806669386
566,3.775084142
567,3.763656692
568,3.756832873
569,3.745069292
570,3.719539523
571,3.664171703
572,3.576775722
573,3.480224139
574,3.397479254
575,3.336930958
576,3.307713037
577,3.305893584
578,3.330973128
579,3.389785655
580,3.493210757
581,3.639381167
582,3.800215266
583,3.93644872
584,4.02339939
585,4.068853152
586,4.090531984
587,4.085716914
588,4.059286237
589,4.016300386
590,3.966085741
591,3.916415725
592,3.870727594
593,3.836574489
594,3.818583349
595,3.806316302
596,3.804416629
597,3.821958913
598,3.84465107
599,3.857392041
600,3.857990933
601,3.847437766
602,3.813503391
603,3.759089417
604,3.702015567
605,3.656975715
606,3.619476182
607,3.575786764
608,3.51781373
609,3.454498798
610,3.401260458
611,3.37109999
612,3.370889377
613,3.395081542
614,3.431357924
615,3.484832078
616,3.562636619
617,3.647289724
618,3.726605289
619,3.802637769
620,3.882725523
621,3.972897274
622,4.078066654
623,4.204715481
624,4.345812966
625,4.484326746
626,4.607399419
627,4.714556192
628,4.803621882
629,4.861970233
630,4.881019936
631,4.860910897
632,4.827136236
633,4.788706469
634,4.763317165
635,4.754878137
636,4.743330306
637,4.725374766
638,4.708762808
639,4.689289248
640,4.669726643
641,4.650903911
642,4.632026052
643,4.611029165
644,4.580499855
645,4.544809356
646,4.515740693
647,4.498571011
648,4.490483891
649,4.489583656
650,4.493060329
651,4.495786548
652,4.493669526
653,4.484744101
654,4.461456009
655,4.427002124
656,4.397990348
657,4.385430481
658,4.383975009
659,4.38232351
660,4.37637394
661,4.363173106
662,4.343345354
663,4.3306852
664,4.325243701
665,4.321133157
666,4.313705853
667,4.305048154
668,4.297036799
669,4.283103726
670,4.262424939
671,4.237432745
672,4.209182012
673,4.177369374
674,4.143368364
675,4.110469698
676,4.079107638
677,4.046995342
678,3.995484998
679,3.762018415
680,3.755618065
681,3.753472312
682,3.748117763
683,3.74024871
684,3.727959885
685,3.70859244
686,3.681248029
687,3.647645518
688,3.61181148
689,3.579046713
690,3.55331846
691,3.534014171
692,3.521514082
693,3.515120203
694,3.515644412
695,3.523733906
696,3.539911959
697,3.563950686
698,3.589261888
699,3.607245211
700,3.612361253
701,3.607828507
702,3.604723996
703,3.610861797
704,3.624924969
705,3.646417591
706,3.667608651
707,3.685308445
708,3.70193004
709,3.722891454
710,3.748539724
711,3.77642114
712,3.807259226
713,3.840028504
714,3.877987089
715,3.928279522
716,3.991048745
717,4.053361886
718,4.09929839
719,4.127951883
720,4.137761413
721,4.180842014
722,4.400657368
723,4.343265531
724,4.283506316
725,4.221849532
726,4.156295096
727,4.094088855
728,4.039369669
729,3.989283563
730,3.949097686
731,3.931704739
732,3.930371358
733,3.935457587
734,3.948062977
735,3.976669359
736,4.008771811
737,4.041932496
738,4.071900396
739,4.079679593
740,4.080075658
741,4.09737155
742,4.150214068
743,4.243646686
744,4.3508809
745,4.420195241
746,4.429973785
747,4.398900682
748,4.358570647
749,4.330659998
750,4.310437562
751,4.295644558
752,4.278589059
753,4.23966281
754,4.184549428
755,4.124647772
756,4.071872109
757,4.026454246
758,3.981768936
759,3.936080122
760,3.905416253
761,3.889218767
762,3.881190225
763,3.873867999
764,3.873795912
765,3.881558131
766,3.865497854
767,3.812641733
768,3.74211951
769,3.675938618
770,3.624171231
771,3.577786685
772,3.535921935
773,3.491039089
774,3.450431565
775,3.432923699
776,3.42565378
777,3.410623492
778,3.394215688
779,3.380625006
780,3.377067946
781,3.386348805
782,3.404381968
783,3.442732883
784,3.514009284
785,3.610141837
786,3.724431562
787,3.839397143
788,3.943521257
789,4.052445308
790,4.184063066
791,4.321642046
792,4.425222081
793,4.478118252
794,4.497231932
795,4.497294182
796,4.481626681
797,4.450180187
798,4.40871244
799,4.37928415
800,4.361450197
801,4.344881421
802,4.316423315
803,4.28139253
804,4.244469075
805,4.198459264
806,4.155559823
807,4.122514801
808,4.08223654
809,4.027487323
810,3.972622511
811,3.927443773
812,3.880332031
813,3.822296675
814,3.760381491
815,3.716487251
816,3.681699476
817,3.650910055
818,3.624550675
819,3.618369158
820,3.647534861
821,3.699011484
822,3.771422291
823,3.843839161
824,3.876334095
825,3.866058138
826,3.837335852
827,3.808857788
828,3.785977122
829,3.765394176
830,3.738818584
831,3.716852694
832,3.703678237
833,3.705938116
834,3.725660813
835,3.74584095
836,3.739659059
837,3.712807714
838,3.689654596
839,3.673032826
840,3.646434032
841,3.605768266
842,3.566469316
843,3.542238784
844,3.517252226
845,3.475370172
846,3.428812611
847,3.403270777
848,3.415460818
849,3.460426188
850,3.507166374
851,3.539557535
852,3.544390465
853,3.522489048
854,3.488784267
855,3.453844784
856,3.418023606
857,3.381342948
858,3.346559812
859,3.32145723
860,3.317620342
861,3.333586578
862,3.359407609
863,3.397021411
864,3.454310093
865,3.53684292
866,3.650656115
867,3.795918815
868,3.955934363
869,4.10297224
870,4.224952913
871,4.330588444
872,4.424063701
873,4.497272898
874,4.546015164
875,4.571711178
876,4.570311035
877,4.551004925
878,4.524501473
879,4.49272763
880,4.455313211
881,4.419953179
882,4.394326577
883,4.376898508
884,4.363369203
885,4.347080051
886,4.330848394
887,4.321136347
888,4.31885158
889,4.319158068
890,4.308879285
891,4.292717163
892,4.270716712
893,4.24500123
894,4.213562096
895,4.172601072
896,4.125797876
897,4.084562914
898,4.044873998
899,3.999805344
900,3.956639644
901,3.929603241
902,3.915833751
903,3.908944623
904,3.906240147
905,3.910134842
906,3.919680831
907,3.922224506
908,3.912670251
909,3.898015498
910,3.886181543
911,3.882083627
912,3.885121992
913,3.898484376
914,3.9232245
915,3.968766901
916,4.040839099
917,4.134175782
918,4.231537951
919,4.315259802
920,4.36663323
921,4.381843157
922,4.353740281
923,4.295235239
924,4.231118486
925,4.168827808
926,4.117332438
927,4.079751072
928,4.03686755
929,3.991072446
930,3.947104639
931,3.897868334
932,3.846828636
933,3.808351672
934,3.775941198
935,3.741371695
936,3.696712647
937,3.646652299
938,3.615826268
939,3.599193629
940,3.581757585
941,3.555852043
942,3.51682557
943,3.468331359
944,3.420701839
945,3.380455741
946,3.348157019
947,3.321382652
948,3.293746825
949,3.26467503
950,3.24667729
951,3.238561391
952,3.223575096
953,3.204119096
954,3.192297307
955,3.194206624
956,3.195406513
957,3.193741398
958,3.204031815
959,3.26655707
960,3.412467097
961,3.618956891
962,3.816462948
963,3.977644791
964,4.102201335
965,4.185391588
966,4.236625906
967,4.259148866
968,4.250608399
969,4.214246868
970,4.163117318
971,4.105106615
972,4.035752199
973,3.961518638
974,3.887952823
975,3.822120385
976,3.780319836
977,3.748355656
978,3.717842893
979,3.688952342
980,3.657824504
981,3.631206035
982,3.615997361
983,3.622640302
984,3.66291369
985,3.737449654
986,3.827191517
987,3.898682044
988,3.940395007
989,3.973478448
990,4.009643427
991,4.015210491
992,3.992047162
993,3.952789466
994,3.91156551
995,3.868557969
996,3.830706615
997,3.798837403
998,3.770334138
999,3.740772756
1000,3.705829634
1001,3.672015713
1002,3.652309116
1003,3.651761919
1004,3.667305495
1005,3.694039784
1006,3.746121338
1007,3.866140728
1008,4.014583001
1009,4.092402616
1010,4.114807504
1011,4.100608751
1012,4.059988207
1013,4.022004414
1014,3.988396918
1015,3.953850779
1016,3.9168336
1017,3.881598679
1018,3.842302303
1019,3.792954608
1020,3.744593241
1021,3.709504079
1022,3.688742677
1023,3.691049257
1024,3.702909867
1025,3.683162452
1026,3.638279535
1027,3.58516612
1028,3.531779302
1029,3.494188146
1030,3.490840965
1031,3.520950228
1032,3.557192792
1033,3.584480664
1034,3.613349955
1035,3.653004904
1036,3.712457486
1037,3.797029118
1038,3.908805811
1039,4.027263485
1040,4.11883834
1041,4.170573276
1042,4.205354281
1043,4.232721396
1044,4.237929335
1045,4.227433964
1046,4.219141888
1047,4.218890968
1048,4.211632784
1049,4.19259815
1050,4.171643588
1051,4.150192947
1052,4.118822431
1053,4.082240969
1054,4.053976824
1055,4.031883641
1056,4.013920311
1057,3.995402477
1058,3.96282458
1059,3.907634464
1060,3.841214402
1061,3.772958951
1062,3.712820037
1063,3.660795942
1064,3.60668005
1065,3.545814746
1066,3.477859096
1067,3.407259621
1068,3.340477391
1069,3.289784804
1070,3.255073309
1071,3.231488553
1072,3.210787112
1073,3.182970987
1074,3.155473291
1075,3.140248443
1076,3.145095468
1077,3.163761625
1078,3.192934955
1079,3.240942099
1080,3.300403763
1081,3.356272171
1082,3.403258109
1083,3.444257897
1084,3.484665233
1085,3.517688529
1086,3.531586326
1087,3.542843478
1088,3.557151738
1089,3.566933797
1090,3.581488497
1091,3.597595108
1092,3.616878605
1093,3.643751325
1094,3.681627843
1095,3.718263735
1096,3.739037953
1097,3.758421198
1098,3.784435739
1099,3.807298649
1100,3.836230671
1101,3.863858861
1102,3.894824846
1103,3.923969284
1104,3.943683822
1105,3.951890045
1106,3.949297082
1107,3.941215894
1108,3.931155989
1109,3.913663936
1110,3.883676316
1111,3.820336306
1112,3.751378612
1113,3.704442624
1114,3.672628701
1115,3.652504324
1116,3.635709624
1117,3.629595274
1118,3.64041808
1119,3.665331286
1120,3.702169936
1121,3.744776507
1122,3.786127739
1123,3.823826614
1124,3.862148573
1125,3.908319333
1126,3.960666671
1127,4.017877689
1128,4.071629535
1129,4.114877112
1130,4.149628353
1131,4.189397553
1132,4.228484623
1133,4.252757955
1134,4.249883073
1135,4.221512322
1136,4.1928445
1137,4.156739435
1138,4.103066118
1139,4.040265628
1140,3.974515123
1141,3.908014836
1142,3.847483421
1143,3.805313173
1144,3.793561676
1145,3.805691552
1146,3.811139956
1147,3.791592133
1148,3.760144606
1149,3.729698062
1150,3.706824803
1151,3.702727208
1152,3.691156958
1153,3.651277167
1154,3.60412436
1155,3.567773069
1156,3.541453834
1157,3.51457708
1158,3.485989279
1159,3.464568068
1160,3.450287376
1161,3.438976106
1162,3.426466354
1163,3.412644323
1164,3.408333252
1165,3.40419202
1166,3.397763894
1167,3.398199971
1168,3.390753363
1169,3.383522807
1170,3.393394102
1171,3.420394226
1172,3.443544077
1173,3.461014315
1174,3.480715226
1175,3.488845964
1176,3.481222225
1177,3.474073601
1178,3.483212897
1179,3.498387016
1180,3.504246014
1181,3.515724767
1182,3.528836535
1183,3.533458605
1184,3.535767034
1185,3.539068654
1186,3.543187046
1187,3.547948352
1188,3.551467634
1189,3.55871694
1190,3.586865589
1191,3.649314565
1192,3.754980402
1193,3.882931583
1194,3.9984039
1195,4.089451933
1196,4.150918855
1197,4.203296526
1198,4.256121535
1199,4.308162507
1200,4.34212265
1201,4.355785148
1202,4.349856505
1203,4.328138591
1204,4.303209911
1205,4.283573739
1206,4.269470698
1207,4.261955081
1208,4.255054243
1209,4.225100524
1210,4.174445914
1211,4.115484574
1212,4.058621469
1213,4.001702987
1214,3.947118295
1215,3.902132848
1216,3.877223045
1217,3.875307345
1218,3.890812389
1219,3.908625595
1220,3.916051393
1221,3.911970931
1222,3.899158205
1223,3.879495875
1224,3.84997564
1225,3.796488676
1226,3.708395301
1227,3.614936045
1228,3.541710755
1229,3.480604298
1230,3.424233137
1231,3.362448964
1232,3.30165582
1233,3.254336535
1234,3.2265832
1235,3.214908467
1236,3.209021495
1237,3.205875293
1238,3.199931469
1239,3.191204009
1240,3.181845883
1241,3.171786476
1242,3.17167216
1243,3.19911942
1244,3.267476242
1245,3.378893259
1246,3.528855767
1247,3.706082785
1248,3.886021915
1249,4.036644445
1250,4.141318289
1251,4.21204494
1252,4.260405352
1253,4.28706925
1254,4.27340827
1255,4.231754398
1256,4.183573346
1257,4.123038903
1258,4.062596743
1259,4.018880855
1260,3.997105835
1261,3.980573604
1262,3.957098521
1263,3.92026894
1264,3.882385583
1265,3.835987344
1266,3.779149324
1267,3.723800415
1268,3.674929587
1269,3.634202341
1270,3.592260336
1271,3.551624439
1272,3.528728437
1273,3.518631379
1274,3.510138248
1275,3.500324803
1276,3.493341958
1277,3.49575463
1278,3.511033045
1279,3.541070639
1280,3.591635555
1281,3.662953886
1282,3.74241091
1283,3.814468911
1284,3.885463339
1285,3.960529318
1286,4.040801599
1287,4.102431494
1288,4.122586622
1289,4.104641267
1290,4.071101236
1291,4.045021637
1292,4.028313827
1293,4.008029597
1294,3.982555473
1295,3.951596367
1296,3.918837597
1297,3.887603754
1298,3.856998595
1299,3.823369111
1300,3.790636962
1301,3.774272172
1302,3.758934795
1303,3.730804213
1304,3.687891266
1305,3.641754263
1306,3.59598933
1307,3.553864054
1308,3.526758192
1309,3.506074848
1310,3.482852896
1311,3.458104733
1312,3.436999589
1313,3.425206108
1314,3.427954725
1315,3.451944664
1316,3.492300306
1317,3.53551137
1318,3.583417247
1319,3.632578048
1320,3.6756981
1321,3.717435127
1322,3.766867452
1323,3.82079395
1324,3.869171397
1325,3.901862203
1326,3.923095097
1327,3.940300656
1328,3.955642796
1329,3.968346298
1330,3.972718578
1331,3.976689972
1332,3.983798491
1333,3.996451438
1334,4.01070943
1335,4.024007816
1336,4.033592687
1337,4.034587402
1338,4.026276971
1339,4.004240677
1340,3.962211842
1341,3.907322223
1342,3.839110029
1343,3.766227541
1344,3.697466305
1345,3.632091556
1346,3.562202524
1347,3.485946938
1348,3.410292206
1349,3.349643558
1350,3.2970608
1351,3.258917683
1352,3.23483618
1353,3.220800393
1354,3.213340346
1355,3.211054525
1356,3.212784623
1357,3.221483827
1358,3.24092655
1359,3.270659894
1360,3.316134412
1361,3.376276406
1362,3.444356607
1363,3.520986035
1364,3.605049104
1365,3.677140785
1366,3.718527208
1367,3.747498462
1368,3.776364408
1369,3.810565881
1370,3.845291061
1371,3.894139233
1372,3.932573754
1373,3.963495732
1374,3.982476498
1375,3.987685886
1376,4.001245804
1377,4.030265541
1378,4.062168317
1379,4.079674194
1380,4.071793569
1381,4.019532994
1382,3.758815164
1383,3.719158389
1384,3.689664752
1385,3.670665514
1386,3.65669131
1387,3.644154944
1388,3.623057346
1389,3.592527956
1390,3.562511542
1391,3.539010388
1392,3.51600688
1393,3.492692334
1394,3.474589165
1395,3.45938497
1396,3.449157902
1397,3.440867746
1398,3.433376182
1399,3.430717613
1400,3.433999544
1401,3.445170466
1402,3.464359223
1403,3.494629016
1404,3.54021863
1405,3.585627166
1406,3.629322913
1407,3.672025901
1408,3.717470601
1409,3.763020791
1410,3.797823214
1411,3.822569311
1412,3.840257268
1413,3.84970624
1414,3.852002813
1415,3.840071244
1416,3.811175224
1417,3.784635026
1418,3.770172241
1419,3.76592228
1420,3.764005904
1421,3.882388632
1422,3.833359314
1423,3.781245267
1424,3.738924734
1425,3.691087107
1426,3.638993894
1427,3.577858089
1428,3.506512797
1429,3.440559342
1430,3.384819024
1431,3.339727729
1432,3.304342838
1433,3.278843201
1434,3.261726912
1435,3.249706701
1436,3.238751868
1437,3.232810283
1438,3.227631334
1439,3.224843662
1440,3.222386032
1441,3.218447639
1442,3.21354181
1443,3.211051015
1444,3.210055175
1445,3.210090191
1446,3.209463787
1447,3.208420183
1448,3.205510461
1449,3.200220195
1450,3.197024424
1451,3.202967725
1452,3.230739122
1453,3.29304458
1454,3.390662637
1455,3.517696733
1456,3.664151638
1457,3.817324212
1458,3.954103337
1459,4.055570203
1460,4.12663204
1461,4.16982256
1462,4.181945969
1463,4.171473916
1464,4.150357157
1465,4.121542967
1466,4.080330295
1467,4.022936831
1468,3.952409751
1469,3.878680179
1470,3.806683173
1471,3.735098616
1472,3.668791962
1473,3.610570701
1474,3.557518022
1475,3.507235982
1476,3.461775948
1477,3.423710519
1478,3.390417178
1479,3.360802264
1480,3.335447429
1481,3.315021983
1482,3.302233153
1483,3.300979925
1484,3.30774695
1485,3.310354283
1486,3.30400138
1487,3.294391367
1488,3.283923652
1489,3.274238434
1490,3.269752822
1491,3.268543395
1492,3.268377239
1493,3.286984843
1494,3.353755428
1495,3.472147974
1496,3.621151184
1497,3.779484312
1498,3.925568502
1499,4.045026964
1500,4.130625607
1501,4.180415011
1502,4.203347604
1503,4.207252672
1504,4.197026758
1505,4.180405748
1506,4.158566162
1507,4.137068053
1508,4.112451129
1509,4.078101644
1510,4.029123413
1511,3.970959606
1512,3.911280733
1513,3.852383298
1514,3.79278083
1515,3.736287487
1516,3.692194319
1517,3.661469676
1518,3.638454043
1519,3.622009901
1520,3.609808181
1521,3.601969863
1522,3.601957717
1523,3.606050537
1524,3.609991241
1525,3.620163124
1526,3.641543602
1527,3.676058428
1528,3.726843823
1529,3.791432553
1530,3.861318406
1531,3.929663253
1532,4.000865825
1533,4.07847593
1534,4.155863016
1535,4.221000638
1536,4.261640007
1537,4.280453037
1538,4.289982997
1539,4.294682334
1540,4.296898406
1541,4.293322061
1542,4.276751216
1543,4.242557508
1544,4.195051924
1545,4.137900105
1546,4.076485001
1547,4.01818189
1548,3.968061021
1549,3.924521052
1550,3.885329696
1551,3.850159606
1552,3.820408789
1553,3.798497883
1554,3.781249142
1555,3.763820216
1556,3.747951844
1557,3.736180949
1558,3.725696042
1559,3.713947303
1560,3.701655789
1561,3.690626056
1562,3.679620323
1563,3.667122678
1564,3.651000022
1565,3.633531388
1566,3.615490149
1567,3.598598823
1568,3.58407458
1569,3.572134284
1570,3.567076622
1571,3.572185714
1572,3.587541043
1573,3.612064921
1574,3.645330152
1575,3.689117067
1576,3.746381236
1577,3.816165615
1578,3.894287543
1579,3.967750334
1580,4.031254894
1581,4.080876571
1582,4.113477253
1583,4.126000213
1584,4.114607023
1585,4.082737473
1586,4.04362223
1587,4.000388343
1588,3.95546068
1589,3.912664337
1590,3.875090489
1591,3.840324499
1592,3.808042869
1593,3.782928468
1594,3.76382866
1595,3.748186297
1596,3.736860341
1597,3.731157193
1598,3.729471748
1599,3.727325929
1600,3.722069371
1601,3.713037071
1602,3.700494099
1603,3.68645108
1604,3.66975305
1605,3.650956867
1606,3.630168493
1607,3.606683052
1608,3.579216923
1609,3.552209585
1610,3.524098018
1611,3.493711542
1612,3.465107691
1613,3.442738432
1614,3.425872003
1615,3.415230963
1616,3.411936737
1617,3.421811324
1618,3.438563366
1619,3.460984358
1620,3.487897007
1621,3.517993793
1622,3.548198211
1623,3.575299442
1624,3.598996927
1625,3.619833973
1626,3.640595986
1627,3.658984521
1628,3.673653977
1629,3.686447766
1630,3.698849105
1631,3.705573193
1632,3.70754068
1633,3.701896801
1634,3.690296486
1635,3.676473971
1636,3.663743831
1637,3.651662997
1638,3.6433668
1639,3.643663314
1640,3.650560192
1641,3.660073262
1642,3.665401752
1643,3.660751904
1644,3.641493265
1645,3.613583041
1646,3.580671054
1647,3.545861457
1648,3.515623796
1649,3.494443656
1650,3.485544215
1651,3.489176449
1652,3.503176652
1653,3.52577194
1654,3.555433125
1655,3.597423878
1656,3.653353554
1657,3.71818719
1658,3.787501692
1659,3.858568488
1660,3.929027309
1661,3.990062244
